,index,lang,textfile,Freq,file,PCComplexity,compressed,folder,LengthScript,Idiosyncratic,Type,Family,Ancestor,Sum_count,Rel_freq,Sum_prob
24089,003C1,grc,ρ,80326,10,47.239828468331204,1132,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.03459917574654896,0.9946429489486401
24090,003C2,ell,ς,65480,8,35.8416134155205,1176,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.037325280010853286,1.0000000000000002
24091,003C2,grc,ς,90758,10,35.8416134155205,1176,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.0390925975699685,0.9946429489486401
24092,003C3,ell,σ,75279,8,40.3461431309875,1141,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.04291096142237362,1.0000000000000002
24093,003C3,grc,σ,88791,10,40.3461431309875,1141,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.03824534289908409,0.9946429489486401
24094,003C4,ell,τ,143618,8,30.0940688846728,1032,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.08186594478617483,1.0000000000000002
24095,003C4,grc,τ,181685,10,30.0940688846728,1032,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.07825798926265153,0.9946429489486401
24096,003C5,ell,υ,64706,8,35.301145911495105,1130,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.03688408015244766,1.0000000000000002
24097,003C5,grc,υ,124816,10,35.301145911495105,1130,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.053762551601987583,0.9946429489486401
24098,003C6,ell,φ,13787,8,58.616212191578995,1311,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.007858943731057335,1.0000000000000002
24099,003C6,grc,φ,14460,10,58.616212191578995,1311,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.006228420203858003,0.9946429489486401
24100,003C7,ell,χ,14941,8,46.726979910416695,1360,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.008516753339067791,1.0000000000000002
24101,003C7,grc,χ,15872,10,46.726979910416695,1360,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.006836617252810112,0.9946429489486401
24102,003C8,ell,ψ,2768,8,75.5983213661942,1295,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.001577831018174128,1.0000000000000002
24103,003C8,grc,ψ,3659,10,75.5983213661942,1295,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.0015760573669375126,0.9946429489486401
24104,003C9,ell,ω,25993,8,51.8466384024966,1286,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.014816676898627206,1.0000000000000002
24105,003C9,grc,ω,65739,10,51.8466384024966,1286,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.028316052267041578,0.9946429489486401
24106,003CA,ell,ϊ,145,7,19.8518287487695,1011,Grek,84,0,alphabet,Phoenician,Phnx,1754307,8.265372024394818e-05,1.0000000000000002
24107,003CA,grc,ϊ,18,2,19.8518287487695,1011,Grek,84,0,alphabet,Phoenician,Phnx,2321616,7.753220170777596e-06,0.9946429489486401
24108,003CB,ell,ϋ,32,6,37.0968297680108,1139,Grek,84,0,alphabet,Phoenician,Phnx,1754307,1.824082101935408e-05,1.0000000000000002
24109,003CB,grc,ϋ,19,1,37.0968297680108,1139,Grek,84,0,alphabet,Phoenician,Phnx,2321616,8.183954624709684e-06,0.9946429489486401
24110,003CC,ell,ό,32685,7,43.097577871252604,1230,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.01863128859429963,1.0000000000000002
24111,003CC,grc,ό,3951,2,43.097577871252604,1230,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.0017018318274856824,0.9946429489486401
24112,003CD,ell,ύ,18898,7,41.2486970395383,1192,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.010772344863242295,1.0000000000000002
24113,003CD,grc,ύ,3598,2,41.2486970395383,1192,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.001549782565247655,0.9946429489486401
24114,003CE,ell,ώ,10371,7,57.7370595885065,1342,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.005911736087241287,1.0000000000000002
24115,003CE,grc,ώ,1266,2,57.7370595885065,1342,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.0005453098186780243,0.9946429489486401
25039,005D0,hbo,א,112193,6,67.6998172112081,1351,Hebr,27,0,abjad,Middle East,Armi,1250323,0.08973121345444338,1.0000000000000002
25040,005D0,heb,א,34260,2,67.6998172112081,1351,Hebr,27,0,abjad,Middle East,Armi,401070,0.08542149749420301,0.9999999999999999
25041,005D1,hbo,ב,66154,6,46.2669828924322,957,Hebr,27,0,abjad,Middle East,Armi,1250323,0.05290952817791882,1.0000000000000002
25042,005D1,heb,ב,18779,2,46.2669828924322,957,Hebr,27,0,abjad,Middle East,Armi,401070,0.04682225047996609,0.9999999999999999
